"awd_id","pi_id","pi_full_name","perf_inst_name"
"2335119","270044698","Mehdi   Khanzadeh Moradllo","Temple University"
"2335120","270023212","Luis A Ruiz Pestana","University of Miami"
"2335120","270000852","Prannoy   Suraneni","University of Miami"
"2335121","269677042","Kimberly E Kurtis","Georgia Tech Research Corporation"
"2335614","269974502","Jonathan   Singer","Rutgers University New Brunswick"
"2335615","269946141","Xin   Yong","SUNY at Buffalo"
"2336490","269816443","Assefaw H Gebremedhin","Washington State University"
"2336490","269946154","Janardhan Rao   Doppa","Washington State University"
"2336490","269960675","Feng-Hao   Liu","Washington State University"
"2336490","270060692","Monowar   Hasan","Washington State University"
"2336531","269793722","Feng   Qin","Ohio State University"
"2336531","269862931","Michael   Bond","Ohio State University"
"2336531","269895365","Zhiqiang   Lin","Ohio State University"
"2336531","270066074","Julia N Armstrong","Ohio State University"
"2339858","270074149","Caryn   Palatchi","Indiana University"
"2343372","269781506","Andres E Tejada-Martinez","University of South Florida"
"2347694","269934712","Mohammed   Baalousha","University of South Carolina at Columbia"
"2347694","269878559","Susan D Richardson","University of South Carolina at Columbia"
"2348740","270033810","Guangming   Jing","University of Massachusetts Lowell"
"2348898","270002416","Bo   Li","Villanova University"
"2348898","269778717","Qianhong   Wu","Villanova University"
"2348898","269900072","Ling   Liu","Villanova University"
"2348898","270095563","Eric T Aerts","Villanova University"
"2348981","270052163","Joshua R Frisch","University of California-San Diego"
"2350116","270090512","Brendan M David-John","Virginia Polytechnic Institute and State University"
"2350116","269944673","Bo   Ji","Virginia Polytechnic Institute and State University"
"2400099","000130488","Gregory S Girolami","University of Illinois at Urbana-Champaign"
"2400116","269887166","Matthew C Pailes","University of Oklahoma Norman Campus"
"2400546","269900302","Paul   Chiarot","SUNY at Binghamton"
"2400546","269946141","Xin   Yong","SUNY at Binghamton"
"2400546","270021743","daehan   won","SUNY at Binghamton"
"2400546","270075137","Yu   Jin","SUNY at Binghamton"
"2401589","000082851","Jeevak M Parpia","Cornell University"
"2401591","270088518","Jaime   Banks","Syracuse University"
"2401591","270088218","Caleb T Carr","Syracuse University"
"2401913","269836334","Manoj K Mishra","Alabama State University"
"2401913","270086900","Nivedita   Priyadarshni","Alabama State University"
"2401915","270016762","Bijandra   Kumar","Elizabeth City State University"
"2401915","269813630","Adetayo V Adedeji","Elizabeth City State University"
"2401915","269978222","Abdennaceur   Karoui","Elizabeth City State University"
"2401943","270047218","Shahin   Shafiee","Prairie View A & M University"
"2401943","269756695","Debjyoti   Banerjee","Prairie View A & M University"
"2401975","270010278","Peng   He","North Carolina Agricultural & Technical State University"
"2401975","269929720","Jianjun   Wei","North Carolina Agricultural & Technical State University"
"2404500","270060721","Sean   Carroll","SENOGUARD, INC."
"2404859","270098685","Michael   McCorvey","Regis College"
"2404859","270098688","Courtney E Cole","Regis College"
"2404859","270098689","Annela   Kelly","Regis College"
"2404859","270098696","Christine O Schwartz","Regis College"
"2404932","269806704","Teena M Gerhardt","Michigan State University"
"2405035","269887297","Inna I Zakharevich","Cornell University"
"2405054","270004086","Joshua D Caldwell","Vanderbilt University"
"2405054","000261699","Richard   Mu","Vanderbilt University"
"2405054","269776737","Sharon M Weiss","Vanderbilt University"
"2405054","269827139","James R McBride","Vanderbilt University"
"2405054","270006023","Justus C Ndukaife","Vanderbilt University"
"2405167","269693300","Igor   Rodnianski","Princeton University"
"2405167","269929699","Mihalis   Dafermos","Princeton University"
"2406643","270087507","Matthew R Hudson","Stevenson University"
"2406643","269991426","William A Harrell","Stevenson University"
"2407264","270025768","Yves   Moussallam","Columbia University"
"2407868","269934551","Stacey J Smith","Brigham Young University"
"2407868","269788120","David T Fullwood","Brigham Young University"
"2407868","269961922","Jeremy A Johnson","Brigham Young University"
"2407868","269962830","Kara J Stowers","Brigham Young University"
"2407868","270030869","Benjamin A Frandsen","Brigham Young University"
"2408384","270078990","Jeffrey Filippini","University of Illinois at Urbana-Champaign"
"2408384","269863250","Liviu M Mirica","University of Illinois at Urbana-Champaign"
"2408384","269992700","Dean L Olson","University of Illinois at Urbana-Champaign"
"2408835","270099412","Matthias T Agne","University of Oregon Eugene"
"2408835","269800525","Josef   Dufek","University of Oregon Eugene"
"2408835","270020904","Carl K Brozek","University of Oregon Eugene"
"2408835","270099537","Nikolay Z Zhelev","University of Oregon Eugene"
"2409412","269922450","Shinsei   Ryu","Princeton University"
"2409501","000144913","Eric Stefan G Shaqfeh","Stanford University"
"2409501","000187919","Joseph M DeSimone","Stanford University"
"2410420","269983572","Alanna E Ossa","SUNY College at Oswego"
"2410559","270007529","Nicholas V Kessler","University of Arizona"
"2410560","269968924","Jacob   Holland-Lulewicz","Pennsylvania State Univ University Park"
"2410788","269743264","Philip J Weilerstein","National Collegiate Inventors and Innovators Alliance"
"2411533","269832333","Sarah K Carmichael","Appalachian State University"
"2411533","000135937","Ellen A Cowan","Appalachian State University"
"2411533","269738816","Andrew B Heckert","Appalachian State University"
"2411533","269801835","Cynthia M Liutkus","Appalachian State University"
"2411605","269774477","Christopher   Chaston","University of California-Berkeley"
"2411817","000149937","Brent T Fultz","California Institute of Technology"
"2412279","000237701","Mitchell J Malone","Texas A&M Research Foundation"
"2412616","269828109","Igor   Aronson","Pennsylvania State Univ University Park"
"2412638","000178633","Steven R White","University of California-Irvine"
"2412650","000156628","Herbert   Levine","Northeastern University"
"2412650","000001681","Alain S Karma","Northeastern University"
"2412916","269802628","Jie   Xiao","Johns Hopkins University"
"2413062","000052259","William M Gelbart","University of California-Los Angeles"
"2413062","269775367","Roya   Zandi","University of California-Los Angeles"
"2413064","269886842","Fabien   Pinaud","University of Southern California"
"2413064","269889433","Christoph   Haselwandter","University of Southern California"
"2413234","269985792","Judson D Ryckman","Clemson University"
"2413235","269983028","Yingjie   Lao","Tufts University"
"2413237","270031104","Yan   Li","Pennsylvania State Univ University Park"
"2413238","269700778","Ganesh K Venayagamoorthy","Clemson University"
"2413876","000228051","Chunming   Qiao","SUNY at Buffalo"
"2413877","270017668","Qi   Chen","University of California-Irvine"
"2414372","269927428","Mingyi   Hong","University of Minnesota"
"2414373","000260075","Alfredo   Garcia","Texas A&M Engineering Experiment Station"
"2414683","270042391","Davood   Babaei Pourkargar","Kansas State University"
"2414683","269926579","Bin   Liu","Kansas State University"
"2414683","270035527","Chuancheng   Duan","Kansas State University"
"2414894","270097625","David J Irvin","QUANTUM COPPER, INC."
"2415314","270101721","Devon M Cayer","OM THERAPEUTICS INC."
"2415347","270053067","Ping   He","Iowa State University"
"2415347","269765062","Hui   Hu","Iowa State University"
"2415574","270102249","Mari Anne   Snow","EASCRA BIOTECH, INC."
"2415756","270050164","Morteza   Kayyalha","Pennsylvania State Univ University Park"
"2415867","269949953","Oleksandr   Makeyev","Dine College"
"2416024","270063319","Matteo   Tamburini","NORTHWEST INDIAN COLLEGE"
"2416119","270100688","Brent   Voels","Cankdeska Cikana Community College"
"2416329","270078695","Murray A Stein","Bermuda Institute of Ocean Sciences (BIOS), Inc."
"2416329","000238950","Nicholas R Bates","Bermuda Institute of Ocean Sciences (BIOS), Inc."
"2417241","269898822","Fiery   Cushman","Harvard University"
"2417658","270095203","Aman Arora","Arizona State University"
"2417898","000098822","Bella   Bose","Oregon State University"
"2418092","270076313","Xueling   Zhang","Rochester Institute of Tech"
"2418092","270064774","Dongfang   Liu","Rochester Institute of Tech"
"2418093","269926906","Xiaoyin   Wang","University of Texas at San Antonio"
"2418268","270081472","Dustin A Richmond","University of California-Santa Cruz"
"2418269","269727060","Ryan   Kastner","University of California-San Diego"
"2418270","270049831","David   Kohlbrenner","University of Washington"
"2418443","269670940","Richard D Ricketts","University of Minnesota Duluth"
"2418474","270022232","Anita L Lopez","University of Hawaii"
"2418809","270077081","Karl J Lewis","Cornell University"
"2418861","000236599","Nicholas A Kotov","Regents of the University of Michigan - Ann Arbor"
"2419037","269925218","Ellen M Ziliak","Benedictine University"
"2419037","270023971","Catherine A Buell","Benedictine University"
"2419044","270027572","Robert A Kamphaus","University of Washington"
"2419195","000260786","Terry B Appelgate","University of California-San Diego Scripps Inst of Oceanography"
"2419195","270085339","Joost   van der Zwaag","University of California-San Diego Scripps Inst of Oceanography"
"2419207","269721201","Kuang-Ting   Hsiao","University of South Alabama"
"2419260","269766127","Sean M Higgins","Columbia University - LDEO"
"2419260","000064798","David S Goldberg","Columbia University - LDEO"
"2419287","000260786","Terry B Appelgate","University of California-San Diego Scripps Inst of Oceanography"
"2419287","270085339","Joost   van der Zwaag","University of California-San Diego Scripps Inst of Oceanography"
"2419527","270091176","Petra M Creamer","Emory University"
"2419622","269764910","Qing   Zhao","Cornell University"
"2419622","000202975","Lang   Tong","Cornell University"
"2419736","269826546","Scott T Milner","Pennsylvania State Univ University Park"
"2419736","269794989","Michael J Janik","Pennsylvania State Univ University Park"
"2419948","269878304","Camelia M Kantor","Pennsylvania State Univ University Park"
"2419948","269712646","Zoubeida   Ounaies","Pennsylvania State Univ University Park"
"2419948","270101233","Diane M Rudy","Pennsylvania State Univ University Park"
"2419948","270101258","Emily P Martell","Pennsylvania State Univ University Park"
"2419989","270101897","Eirini M Poulaki","Louisiana State University"
"2419990","269973303","Cailey B Condit","University of Washington"
"2419991","270101831","Carolyn M Tewksbury-Christle","Fort Lewis College"
"2420015","270083617","Paul F Gallagher","Woods Hole Oceanographic Institution"
"2420044","270083617","Paul F Gallagher","Woods Hole Oceanographic Institution"
"2420146","270017334","Yu   Xiang","University of Utah"
"2420183","269840176","Thomas   Miller","William Marsh Rice University"
"2420184","269706818","Jennifer A Rudgers","University of New Mexico"
"2420184","269763974","Kenneth D Whitney","University of New Mexico"
"2420221","000181935","Robert S Pickart","Woods Hole Oceanographic Institution"
"2420305","000136320","Ian   Baker","Trustees of Dartmouth College"
"2420393","270086825","Sarah   Bryant","American Mathematical Society"
"2420424","269695705","Bane   Vasic","University of Arizona"
"2420424","270090053","Nithin   Raveendran","University of Arizona"
"2420692","269981581","STEVEN E NALEWAY","University of Utah"
"2420706","269921556","Berardi   Sensale-Rodriguez","University of Utah"
"2420706","269840797","Rajesh   Menon","University of Utah"
"2420839","269949116","Marco   Caricato","University of Kansas Center for Research Inc"
"2420839","000136425","Bala   Subramaniam","University of Kansas Center for Research Inc"
"2420988","269774533","Michael   Ludkovski","University of California-Santa Barbara"
"2420988","270021323","Ruimeng   Hu","University of California-Santa Barbara"
"2421007","000202791","Stephen B Moran","University of Alaska Fairbanks Campus"
"2421007","269998654","Douglas D Baird","University of Alaska Fairbanks Campus"
"2421096","270030518","Nicholas P Foukal","University of Georgia Research Foundation, Inc."
"2421096","269772027","Daniel J Torres","University of Georgia Research Foundation, Inc."
"2421097","269676501","Thomas   Haine","Johns Hopkins University"
"2421214","270103792","Isaiah   Kaiser","AUXILIUM HEALTH INC"
"2421235","270048368","Aniruddh   Vashisth","University of Washington"
"2421235","270055227","Matthew R Golder","University of Washington"
"2421236","269703189","Nikhil   Koratkar","Rensselaer Polytechnic Institute"
"2421242","269887981","Christopher J Pappas","Manhattanville University"
"2421242","270080564","Nora C Broege","Manhattanville University"
"2421291","269694700","Amy E Landis","Colorado School of Mines"
"2421414","269983592","John   Bichy","University of Georgia Research Foundation Inc"
"2421414","000177278","Clark R Alexander","University of Georgia Research Foundation Inc"
"2421622","269956732","Travis   Miles","Rutgers University New Brunswick"
"2421622","270098190","Joseph C Gradone","Rutgers University New Brunswick"
"2421623","270071535","William D Wilson","University of The Virgin Islands"
"2421624","269731633","Ruoying   He","North Carolina State University"
"2422205","000176959","Paul W Beame","University of Washington"
"2422507","270037815","Javen S Weston","University of Tulsa"
"2422591","269684650","Rakesh   Agrawal","Purdue University"
"2422591","269866292","Suzanne C Bart","Purdue University"
"2422730","269992412","Matthijs   van der Meer","Dartmouth College"
"2423002","270058169","Joseph   Bartels","PHLUX TECHNOLOGIES, INC."
"2423045","270060198","David E Wolf","RT MICRODX INC."
"2423382","270097660","Marcus   Riedel","FEMTOFLUIDICS INCORPORATED"
"2423532","270102968","Daniel   Lundberg","T33 DENTAL, INC."
"2423572","269986581","Muhammad   Rabnawaz","Michigan State University"
"2423572","269880493","Christopher M Saffron","Michigan State University"
"2423572","270075175","Euihark   Lee","Michigan State University"
"2423573","270004365","Kecheng   Li","Western Michigan University"
"2423628","270067986","Aaron   Crookes","Apricity Robotics"
"2423683","270069473","Jairo   Giraldo Trujillo","GRID MODERNIZATION SOLUTIONS, L.L.C."
"2423711","000158626","Umakishore   Ramachandran","Georgia Institute of Technology"
"2423869","270002416","Bo   Li","Villanova University"
"2423869","269847047","Gang   Feng","Villanova University"
"2423921","269819228","Sherri J Morris","Bradley University"
"2423921","269977257","Kristi L McQuade","Bradley University"
"2423921","269730495","Julie A Reyer","Bradley University"
"2424100","270103718","Saskia   Haegens","Research Foundation For Mental Hygiene Inc"
"2424100","270104358","Alexander   Harris","Research Foundation For Mental Hygiene Inc"
"2424101","269838571","Stephanie R Jones","Brown University"
"2424313","270056118","Pamela M Brannock","Rollins College"
"2424331","270104713","Laura E Emerick","Marion Technical College"
"2424331","270104714","Lindsey M Knapp","Marion Technical College"
"2424353","269701327","Rahman   Tashakkori","Appalachian State University"
"2424353","000247055","Cindy   Norris","Appalachian State University"
"2424353","269760774","Carol M Babyak","Appalachian State University"
"2424353","270069086","Roshani   Silwal","Appalachian State University"
"2424353","270104472","Jacob J Blazejewski","Appalachian State University"
"2424500","270027440","Oluseye K Onajole","Roosevelt University"
"2424500","269787444","Kelly K Wentz-Hunter","Roosevelt University"
"2424500","270013752","Michael T Maly","Roosevelt University"
"2424551","269698846","Fereshteh   Billiot","Texas A&M University Corpus Christi"
"2424551","000177429","Jennifer M Smith-Engle","Texas A&M University Corpus Christi"
"2424551","269698845","Eugene J Billiot","Texas A&M University Corpus Christi"
"2424551","269974969","Joseph   Felix","Texas A&M University Corpus Christi"
"2424583","270012562","Noveera   Ahmed","St. John Fisher College"
"2424583","269862099","Kimberly D Chichester","St. John Fisher College"
"2424583","270031488","Sara G Goodman","St. John Fisher College"
"2424583","270087582","Ryan   Gantner","St. John Fisher College"
"2424742","269754977","Stephanie S Ivey","University of Memphis"
"2424742","269756425","Aaron L Robinson","University of Memphis"
"2424742","269772886","Alistair J Windsor","University of Memphis"
"2424742","269874212","Craig O Stewart","University of Memphis"
"2424803","269795390","Xiaohui   Yuan","University of North Texas"
"2424803","269825809","David M Keathly","University of North Texas"
"2424803","270000255","Xuan   Guo","University of North Texas"
"2424843","269846473","Maureen M Sanz","MOLLOY UNIVERSITY"
"2424843","269840138","Jodi   Evans","MOLLOY UNIVERSITY"
"2424843","270038316","Elizabeth A Suter","MOLLOY UNIVERSITY"
"2424843","270072717","Michael A Marino","MOLLOY UNIVERSITY"
"2424843","270072773","Li   Li","MOLLOY UNIVERSITY"
"2424867","269764705","Kerry L Breno","Whitworth University"
"2424867","269882734","Philip   Measor","Whitworth University"
"2424867","269976105","Aaron   Putzke","Whitworth University"
"2424867","270104809","Melissa   Rogers","Whitworth University"
"2424868","270059362","Sara   Gremillion","Georgia Southern University Research and Service Foundation, Inc"
"2424868","269895698","Kathlyn   Smith","Georgia Southern University Research and Service Foundation, Inc"
"2424868","269923475","Shainaz   Landge","Georgia Southern University Research and Service Foundation, Inc"
"2424868","270042869","Dragos   Amarie","Georgia Southern University Research and Service Foundation, Inc"
"2424868","270060465","Tuyin   An","Georgia Southern University Research and Service Foundation, Inc"
"2424986","269943240","Carlie   Pietsch","San Jose State University"
"2424986","000150971","Ellen P Metzger","San Jose State University"
"2424986","270040623","LeAnne   Teruya","San Jose State University"
"2424986","270046753","Nathaniel A Bogie","San Jose State University"
"2425143","269674954","Niall P Hanan","New Mexico State University"
"2425143","269780474","Brandon   Bestelmeyer","New Mexico State University"
"2425143","269791566","Sasha C Reed","New Mexico State University"
"2425143","269834354","Stephanie V Bestelmeyer","New Mexico State University"
"2425143","269864518","Osvaldo E Sala","New Mexico State University"
"2425290","269706818","Jennifer A Rudgers","University of New Mexico"
"2425290","000241920","Yiqi   Luo","University of New Mexico"
"2425290","000246820","Marcy   Litvak","University of New Mexico"
"2425290","269855561","Seth D Newsome","University of New Mexico"
"2425290","270070737","Alex J Webster","University of New Mexico"
"2425349","269912067","Shachar   Lovett","University of California-San Diego"
"2425350","269959487","Raghu   Meka","UCLA Compter Science"
"2425417","269906593","Robert J Miller","University of California-Santa Barbara"
"2425417","000058148","Daniel C Reed","University of California-Santa Barbara"
"2425417","000187026","Gretchen E Hofmann","University of California-Santa Barbara"
"2425417","269861184","Nicholas J Nidzieko","University of California-Santa Barbara"
"2425417","269981708","Adrian C Stier","University of California-Santa Barbara"
"2425458","269700923","Scott R Friskics","Aaniiih Nakoda College"
"2425936","269744517","Aleksey V Smirnov","Michigan Technological University"
"2425936","270104742","Elisa J Piispa","Michigan Technological University"
"2426037","270006443","Katharine   Tibbetts","Virginia Commonwealth University"
"2426037","270035452","Ka Un   Lao","Virginia Commonwealth University"
"2426103","270012516","Felix   Leditzky","University of Illinois at Urbana-Champaign"
"2426144","270018246","Daniel K Bediako","The Regents of the University of California"
"2426182","270020820","Marcus T Cicerone","Georgia Tech Research Corporation"
"2426182","270003654","Jesse   McDaniel","Georgia Tech Research Corporation"
"2426346","269973838","Daniel G Kuroda","Louisiana State University"
"2426443","269720430","Robert B Findler","Northwestern University"
"2426474","270014439","Jean-Baptiste   Jeannin","Regents of the University of Michigan - Ann Arbor"
"2426523","269890762","Asti Bhatt","SRI International"
"2426524","269763952","Jonathan J Makela","University of Illinois at Urbana-Champaign"
"2426525","270026597","Brian J Harding","University of California-Berkeley"
"2426549","269986026","Martin   Bauer","Florida State University"
"2426550","269970983","Nicolas   Charon","University of Houston"
"2426557","269700923","Scott R Friskics","Aaniiih Nakoda College"
"2426557","270105299","Dennis D Johnson","Aaniiih Nakoda College"
"2426580","270030815","Ali   Jannesari","Iowa State University"
"2426605","000214474","Joy   McCorriston","Ohio State University"
"2426605","270103805","Sydney A Hunter","Ohio State University"
"2426840","000182249","Darrell   Whitley","Colorado State University"
"2426919","270025113","Amir K Miri","New Jersey Institute of Technology"
"2426919","270105453","Teresa L Wood","New Jersey Institute of Technology"
"2426925","000248491","Glenn A Gaetani","Woods Hole Oceanographic Institution"
"2426925","269906387","Brian   Monteleone","Woods Hole Oceanographic Institution"
"2427012","269867619","Zhongming   Zhao","The University of Texas Health Science Center at Houston"
"2427065","000176946","Karl   Sieradzki","Arizona State University"
"2427181","269982473","Ross   Parnell-Turner","University of California-San Diego Scripps Inst of Oceanography"
"2427182","269665843","Juan Pablo   Canales","Woods Hole Oceanographic Institution"
"2427198","270105310","Xuedan   Ma","William Marsh Rice University"
"2427242","270090067","Qian   He","Rowan University"
"2427242","000239288","Debbie A Niemeier","Rowan University"
"2427242","270033084","Mahbubur   Meenar","Rowan University"
"2427257","269964249","Matthias   Waegele","Trustees of Boston College"
"2427318","000021671","Uzi   Vishkin","University of Maryland, College Park"
"2427318","000228187","Manoj   Franklin","University of Maryland, College Park"
"2427321","000076177","Ming   Cai","Florida State University"
"2427321","000171784","Kevin   Speer","Florida State University"
"2427321","269964961","Bryan D Quaife","Florida State University"
"2427321","270104091","Jie   Sun","Florida State University"
"2427322","000231743","Jielun   Sun","NorthWest Research Associates, Incorporated"
"2427323","270062014","David   Schvartzman","University of Oklahoma Norman Campus"
"2427328","270011468","Laura   Waters","New Mexico Institute of Mining and Technology"
"2427328","270038522","Nicole C Hurtig","New Mexico Institute of Mining and Technology"
"2427329","000119392","Mark S Ghiorso","OFM Research"
"2427330","269935804","Aaron S Bell","University of Colorado at Boulder"
"2427396","269892221","Fabiany A Herrera","Field Museum of Natural History"
"2427398","269837981","David M Carballo","Trustees of Boston University"
"2427398","270103837","Alonso G Vicencio","Trustees of Boston University"
"2427440","000256301","Robert D Nowak","University of Wisconsin-Madison"
"2427686","270040597","Tao   Sun","Northwestern University"
"2427827","270056758","Solomon   Adera","Regents of the University of Michigan - Ann Arbor"
"2427828","270035774","Zhenhua   Tian","Virginia Polytechnic Institute and State University"
"2427902","269820901","Maria Victoria   Fernandez Serra","SUNY at Stony Brook"
"2427903","000260728","Kieron J Burke","University of California-Irvine"
"2428169","269998277","Brad J Ramshaw","Cornell University"
"2428427","270064869","Qiang   Liu","Iowa State University"
"2428464","269993216","Inna   Vishik","University of California-Davis"
"2428569","270027745","Weina   Wang","Carnegie-Mellon University"
"2428569","269985257","Gauri   Joshi","Carnegie-Mellon University"
"2428598","269999566","Thomas   Kempa","Johns Hopkins University"
"2428619","269964780","Guy   Bresler","Massachusetts Institute of Technology"
"2428698","270103573","Raymond   Sukhdeo","University of California Los Angeles (UCLA)"
"2428716","269829397","Scott A Showalter","Pennsylvania State Univ University Park"
"2428745","269936153","Nathaniel B Hardy","Auburn University"
"2428775","269975739","Xiaogang   Ma","Regents of the University of Idaho"
"2428806","269778831","Xinmiao   Zhang","Ohio State University"
"2428880","270105186","HAILIN   SANG","Michigan State University"
"2428964","000002398","Rosemary G Gillespie","University of California-Berkeley"
"2428964","269932578","Iryna   Dronova","University of California-Berkeley"
"2428965","269668720","Daniel S Gruner","University of Maryland, College Park"
"2428966","269856908","Ryan   Perroy","University of Hawaii at Hilo"
"2428966","269935002","Jonathan   Price","University of Hawaii at Hilo"
"2428966","270089090","Natalie R Graham","University of Hawaii at Hilo"
"2428981","269947973","Jinhui   Wang","Georgia Institute of Technology"
"2429021","270013253","Mojtaba   Sadegh","Universities Space Research Association"
"2429027","270003353","Shan   Jiang","NASA Marshall Space Flight Center"
"2429078","270063468","Dongchang   Chen","The University of Texas at Austin"
"2429082","269925960","Vidya   Samadi","Clemson University"
"2429163","269859012","Julie   Champion","Georgia Institute of Technology"
"2429163","269694670","Andreas S Bommarius","Georgia Institute of Technology"
"2429239","270106034","Emily   Sprague-Klein","Argonne National Laboratory"
"2429274","269844868","Denise R Simmons","University of Florida"
"2429343","269951716","Matthew R Lakin","Arizona State University"
"2429344","270086649","Ruby   Yu","TERRAFERMA FOODS, INC."
"2429381","269987333","Abdelghani   Laraoui","The Pennsylvania State University"
"2429384","270050830","Rohan   Padhye","Carnegie-Mellon University"
"2429405","270104652","Tianfang   Han","The Ohio State University"
"2429415","000207262","Ranjan   Mukherjee","Michigan State University"
"2429415","270020255","Wei-Che   Tai","Michigan State University"
"2429416","270105889","Olja   Simoska","University of Cincinnati"
"2429418","269942641","Sydne   Record","The Ohio State University"
"2429424","270096890","Xingsheng   Sun","Johns Hopkins University"
"2429450","270097817","David   Jones","University of Hawaii"
"2429466","269792598","Brian W O'Shea","Michigan State University"
"2429466","269669885","Ronald W Henry","Michigan State University"
"2429466","269941729","Donald R DuRousseau","Michigan State University"
"2429466","270072478","Kathleen   Fitzpatrick","Michigan State University"
"2429466","270106354","Jonathan M Barber","Michigan State University"
"2429473","270105292","Nicholas R MacDonald","Boston University"
"2429498","270103728","Alexis   Hardesty","Texas Woman's University"
"2429498","269887782","Alison   Marr","Texas Woman's University"
"2429498","269934820","Raegan   Higgins","Texas Woman's University"
"2429498","270105892","Sofia R Martinez Alberga","Texas Woman's University"
"2429498","270105896","Kelly R Buch","Texas Woman's University"
"2429504","269993164","Jie   Ling","The University of Alabama in Huntsville"
"2429505","269908897","Luis A Duffaut Espinosa","University of Vermont & State Agricultural College"
"2429513","269971055","Alejandro   Salado","University of Arizona"
"2429522","269983945","Drew M Peltier","Northern Arizona University"
"2429540","270089041","Gang   Li","University of Miami"
"2429557","270026317","Farzad   Ferdowsi","NASA Glenn Research Center"
"2429560","270039581","Brian C Burkhart","OKLAHOMA STATE REGENTS FOR HIGHER EDUCATION"
"2429560","269676299","Evan C Lemley","OKLAHOMA STATE REGENTS FOR HIGHER EDUCATION"
"2429560","269889330","Franklin   Fondjo-Fotou","OKLAHOMA STATE REGENTS FOR HIGHER EDUCATION"
"2429560","270060383","April D Goode","OKLAHOMA STATE REGENTS FOR HIGHER EDUCATION"
"2429560","270102911","William   Bradford","OKLAHOMA STATE REGENTS FOR HIGHER EDUCATION"
"2429580","270063597","Han   Hu","NASA Glenn Research Center"
"2429581","269986037","Xiangbo   Meng","National Renewable Energy Laboratory"
"2429582","269985197","Yu   Feng","University of California, Los Angeles"
"2429592","269997452","Meng   Zhou","University of California, Irvine"
"2429594","270089028","Nathan   Spulak","NASA Glenn Research Center"
"2429623","269892455","Karen Wawrousek","University of Wyoming"
"2429640","270035474","William J Gannon","Oak Ridge National Laboratory"
"2429662","270049083","Asheesh   Lanba","University of Michigan"
"2429675","269880878","Mousa S Ayyash","Chicago State University"
"2429675","269822771","Edmundo   Garcia-Solis","Chicago State University"
"2429683","270043114","Ethan B Secor","NASA - Marshall Space Flight Center"
"2429687","270106370","Tze Ning   Hiew","University of Connecticut"
"2429695","270004060","Kemp   Plumb","Brookhaven National Laboratories"
"2429708","270053068","Shunyu   Liu","Argonne National Laboratory"
"2429709","270088371","JuHyeong   Ryu","University of South Carolina"
"2429718","269856870","Brian A Counterman","Smithsonian Institution"
"2429752","270105273","Ayush   Asthana","Pacific Northwest National Laboratory"
"2429761","270089116","Yen-Fang   Su","Oak Ridge National Laboratory"
"2429769","270031547","Van Minh Tuan   Le","University of California, San Diego"
"2429771","270059660","Ana   Colaco Morais","Washington University"
"2429775","270088703","Yang   Cao","Iowa State University"
"2429781","269818894","Jennifer L Grindstaff","University of Pittsburgh"
"2429901","270050468","Christine M Albano","Nevada System of Higher Education, Desert Research Institute"
"2429932","269989655","Chengbin   Deng","University of Oklahoma Norman Campus"
"2429960","270092018","Zuobin   Xiong","University of Southern California"
"2429968","270102651","Leif   Nelson","Boise State University"
"2429968","269981795","Casey R Kennington","Boise State University"
"2429988","270011269","Juan   Montes","American Museum Natural History"
"2429988","269793268","Frank T Burbrink","American Museum Natural History"
"2429988","270011318","Michael J Benedetto","American Museum Natural History"
"2430001","269934512","Georgia K Stuart","University of Massachusetts Amherst"
"2430001","270094218","Thomas L Bernardin","University of Massachusetts Amherst"
"2430001","270103682","Peter   Chien","University of Massachusetts Amherst"
"2430006","269765715","Endawoke   Yizengaw","Aerospace Corporation"
"2430006","270105837","Brett A McCuen","Aerospace Corporation"
"2430007","000193461","Cesar E Valladares","Boston College"
"2430007","269920984","Keith   Groves","Boston College"
"2430050","269965416","Jose   Carrion Muniz","Texas Christian University"
"2430050","000072086","Efton   Park","Texas Christian University"
"2430050","269741132","Greg B Friedman","Texas Christian University"
"2430050","270095819","Travis B Russell","Texas Christian University"
"2430109","269899084","Chinedum   Okwudire","Regents of the University of Michigan - Ann Arbor"
"2430110","269823262","Albert C To","University of Pittsburgh"
"2430141","269902410","Tracy   Futhey","Duke University"
"2430141","269902195","J. Michael   Barker","Duke University"
"2430141","269926092","Kaushik   Roy","Duke University"
"2430141","269957586","Charles L Kneifel","Duke University"
